time,integrated_power,mean_periodic_power_dep,periodic_power,voltage
0,0,0,0,0.24
1e-11,-0.024419830903334,-4.966993605738e-11,-1.2209915451667e-13,0.24
2.2e-11,-0.04648772230371,-2.2274109192513e-10,-5.4754447375893e-13,0.24
3.64e-11,-0.067782542847957,-5.5743412774376e-10,-1.3702903828509e-12,0.24
5.368e-11,-0.089244791796821,-1.1093462662412e-09,-2.7270065541818e-12,0.24
7.4416e-11,-0.11122224518315,-1.9548565692325e-09,-4.8054487935902e-12,0.24
9.92992e-11,-0.13355634078595,-3.193740444645e-09,-7.8508860487833e-12,0.24
1.2915904e-10,-0.15544194841756,-4.9489690849212e-09,-1.2165607386729e-11,0.24
1.64990848e-10,-0.17511136197428,-7.358104332622e-09,-1.8087768762591e-11,0.24
2.079890176e-10,-0.18927951495762,-1.0545004156496e-08,-2.5921839126096e-11,0.24
2.5958682112e-10,-0.19223538669488,-1.454900046876e-08,-3.5764504593805e-11,0.24
3.21504185344e-10,-0.17438747529432,-1.9166245816834e-08,-4.7114665233121e-11,0.24
3.958050224128e-10,-0.11995654082948,-2.3614605196738e-08,-5.8049668625216e-11,0.24
4.8496602689536e-10,-0.0033322573711411,-2.5850490495044e-08,-6.3545945169724e-11,0.24
5.9195923227443e-10,0.21666224820924,-2.1207914068013e-08,-5.2133515408095e-11,0.24
7.2035107872932e-10,0.60577514816141,2.6995758480855e-10,6.6361254869359e-13,0.24
8.7442129447518e-10,1.2684239455955,5.9003387409644e-08,1.4504274191161e-10,0.24
1.0593055533702e-09,2.3696936530064,1.9581646690611e-07,4.8135807990687e-10,0.24
1.2811666640443e-09,4.1695125795612,4.9090828333905e-07,1.2067558587489e-09,0.24
1.5473999968531e-09,7.0754302181684,1.0998428502301e-06,2.7036451578911e-09,0.24
1.8668799962237e-09,11.723433007301,2.3214349392773e-06,5.7065755636119e-09,0.24
2.2502559954685e-09,19.10016634572,4.725018475622e-06,1.1615089664754e-08,0.24
2.7103071945622e-09,30.724359036222,9.3873192358665e-06,2.3076005987872e-08,0.24
3.2623686334746e-09,48.908400893336,1.8329225840629e-05,4.5057094003513e-08,0.24
3.9248423601695e-09,77.117848967243,3.5310904591916e-05,8.6801633706774e-08,0.24
4.7198108322034e-09,120.42467817366,6.7252857059773e-05,1.6532167418823e-07,0.24
5.6737729986441e-09,185.98157055063,0.00012670667072264,3.1147165861023e-07,0.24
6.818527598373e-09,283.27332847814,0.0002359694293383,5.8006251066446e-07,0.24
8.1922331180476e-09,423.5292401057,0.00043345833850033,1.0655318055564e-06,0.24
9.8406797416571e-09,616.9799281536,0.00078233486455654,1.9231437181823e-06,0.24
1.1818815689988e-08,865.6035947635,0.0013788565731683,3.3895195997253e-06,0.24
1.4192578827986e-08,1148.2926100351,0.0023512128308632,5.7797758870776e-06,0.24
1.7041094593583e-08,1397.7628083597,0.0038263670593374,9.4060153867686e-06,0.24
2.04593135123e-08,1481.1289577862,0.0058279618391529,1.4326356536757e-05,0.24
2.41593135123e-08,1269.1267689441,0.0078977492939757,1.9414329631209e-05,0.24
2.78593135123e-08,823.64880145987,0.0094727303327503,2.3285964436456e-05,0.24
3.15593135123e-08,334.13566648531,0.010344055767636,2.5427865702155e-05,0.24
3.52593135123e-08,27.151037385868,0.010615952915236,2.6096246104316e-05,0.24
3.89593135123e-08,72.120778773115,0.010690662898641,2.627989896421e-05,0.24
4.26593135123e-08,501.88128866804,0.011122645374556,2.7341802788976e-05,0.24
4.63593135123e-08,1185.3096333185,0.012392391518624,3.0463105994652e-05,0.24
5.00593135123e-08,1871.7469849677,0.014693071188414,3.6118660738481e-05,0.24
5.37593135123e-08,2292.7609484136,0.017827196568918,4.3823000415236e-05,0.24
5.74593135123e-08,2276.4511349088,0.021265894198585,5.2276042769383e-05,0.24
6.11593135123e-08,1822.2932799761,0.024350527270339,5.985871993692e-05,0.24
6.48593135123e-08,1105.3816315411,0.026553836855249,6.5274918523227e-05,0.24
6.85593135123e-08,412.27202578314,0.027695992644678,6.8082577789276e-05,0.24
7.22593135123e-08,34.171664605844,0.028031977237191,6.8908498616496e-05,0.24
7.59593135123e-08,152.53655682565,0,0,0.24
7.96593135123e-08,757.77996480066,0.00068508600784553,1.6840855650087e-06,0.24
8.33593135123e-08,1640.3963225504,0.0024899055181802,6.1207116966082e-06,0.24
8.70593135123e-08,2467.5954738241,0.0055814979842957,1.3720496519901e-05,0.24
9.07593135123e-08,2917.1412066544,0.0096339431152902,2.3682259378786e-05,0.24
9.44593135123e-08,2809.5343933881,0.01394372463837,3.4276609238865e-05,0.24
9.81593135123e-08,2182.475297566,0.017700611291588,4.351182716713e-05,0.24
1.018593135123e-07,1278.1114997569,0.020304979703518,4.9913912742177e-05,0.24
1.055593135123e-07,452.90932257281,0.021607711353987,5.3116301263487e-05,0.24
1.092593135123e-07,44.899132182975,0.021982352040867,5.4037246904785e-05,0.24
1.129593135123e-07,241.83948381358,0.022198145788493,5.4567713344379e-05,0.24
1.166593135123e-07,997.52462555045,0.023130866429919,5.6860536946702e-05,0.24
1.203593135123e-07,2038.0894634008,0.025415408880982,6.2476423011262e-05,0.24
1.240593135123e-07,2966.4347310512,0.029181713699242,7.1734792770999e-05,0.24
1.277593135123e-07,3421.3322594222,0.033989019380933,8.3552161703374e-05,0.24
1.314593135123e-07,3223.3363981747,0.038989664119267,9.5844798719929e-05,0.24
1.351593135123e-07,2446.7424855783,0.043256852085602,0.00010633444465487,0.24
1.388593135123e-07,1391.4342867135,0.046145387160893,0.00011343507168361,0.24
1.425593135123e-07,471.09642492699,0.04754709052386,0.00011688075350015,0.24
1.462593135123e-07,59.167822438549,0.047946156791142,0.00011786174235777,0.24
1.499593135123e-07,343.00400920949,0,0,0.24
1.536593135123e-07,1239.5024363226,0.0011909627007786,2.9276369242344e-06,0.24
1.573593135123e-07,2416.4113434762,0.0039423302931796,9.6910774168624e-06,0.24
1.610593135123e-07,3421.8730183359,0.0083361063381922,2.0491903486215e-05,0.24
1.647593135123e-07,3865.5327525395,0.013820462173238,3.3973604162334e-05,0.24
1.684593135123e-07,3574.1567618606,0.019419423707985,4.7737029763974e-05,0.24
1.721593135123e-07,2659.0256798687,0.024110392149981,5.9268417281174e-05,0.24
1.758593135123e-07,1472.7879215014,0.027219912430101,6.6912272443708e-05,0.24
1.795593135123e-07,478.53439755948,0.028688438580979,7.0522218733971e-05,0.24
1.832593135123e-07,77.465412554441,0.029106872918075,7.1550818382682e-05,0.24
1.869593135123e-07,451.59187419248,0.029505030850935,7.2529574363164e-05,0.24
1.906593135123e-07,1480.0898065805,0.030958775850251,7.6103185472594e-05,0.24
1.943593135123e-07,2776.4868764872,0.034162190330394,8.3977852336269e-05,0.24
1.980593135123e-07,3840.9550839868,0.039142344801008,9.6220119963146e-05,0.24
2.017593135123e-07,4261.1131388478,0.045239799304149,0.00011120894617539,0.24
2.054593135123e-07,3874.4852117586,0.051362487910848,0.00012625980312401,0.24
2.091593135123e-07,2829.7391617662,0.056407953089875,0.00013866261821503,0.24
2.128593135123e-07,1528.6931213254,0.059688022057484,0.00014672571793875,0.24
2.165593135123e-07,477.89161248124,0.061198137596452,0.00015043789969629,0.24
2.202593135123e-07,100.17728329367,0.061633180686035,0.00015150732715348,0.24
2.239593135123e-07,568.01109487281,0,0,0.24
2.276593135123e-07,1722.1973629299,0.0017235650811732,4.2368856469351e-06,0.24
2.313593135123e-07,3124.8444873487,0.0053713518368559,1.320391306995e-05,0.24
2.350593135123e-07,4233.7728367089,0.010909300062595,2.6817355119457e-05,0.24
2.387593135123e-07,4620.3918528412,0.017572767324657,4.3197559795125e-05,0.24
2.424593135123e-07,4136.74036279,0.024163209887496,5.9398254394043e-05,0.24
2.461593135123e-07,2969.1314206698,0.029510946874293,7.2544117193443e-05,0.24
2.498593135123e-07,1565.9800065102,0.03292398103216,8.0934073333726e-05,0.24
2.535593135123e-07,472.26633280559,0.034457924462202,8.4704829061461e-05,0.24
2.572593135123e-07,127.44342764315,0.034909254033721,8.5814292118291e-05,0.24
2.609593135123e-07,690.94539334272,0.035525157092618,8.7328311437115e-05,0.24
2.646593135123e-07,1964.613531937,0.037523677628605,9.2241095448882e-05,0.24
2.683593135123e-07,3461.7813124738,0.041607473860612,0.00010227992591104,0.24
2.720593135123e-07,4602.7209462926,0.047676656970514,0.00011719925508976,0.24
2.757593135123e-07,4947.5505666752,0.054864000305744,0.00013486725738875,0.24
2.794593135123e-07,4365.8851420288,0.0618731057514,0.00015209711344985,0.24
2.831593135123e-07,3081.9383523584,0.067478188756806,0.00016587558691447,0.24
2.868593135123e-07,1587.9328291883,0.070992640410614,0.00017451484860033,0.24
2.905593135123e-07,463.22169121401,0.072536298279579,0.00017830948446307,0.24
2.942593135123e-07,159.50346670396,0.073004948778925,0.00017946152600522,0.24
2.979593135123e-07,820.17134205297,0,0,0.24
3.016593135123e-07,2207.6464602668,0.0022786751216698,5.6014629342916e-06,0.24
3.053593135123e-07,3788.9071768005,0.006791561457854,1.6695087162866e-05,0.24
3.090593135123e-07,4950.9695199117,0.013369017862266,3.2863859051784e-05,0.24
3.127593135123e-07,5246.9760910192,0.02104378777014,5.1730058432006e-05,0.24
3.164593135123e-07,4566.7146092036,0.028429375117314,6.9885386227418e-05,0.24
3.201593135123e-07,3172.3163126046,0.034253615008448,8.4202593432763e-05,0.24
3.238593135123e-07,1597.4672941158,0.037843258755194,9.3026693105196e-05,0.24
3.275593135123e-07,452.15211940862,0.039385761333424,9.6818489020216e-05,0.24
3.312593135123e-07,196.46081331688,0.039873894454334,9.8018422945758e-05,0.24
3.349593135123e-07,955.01836723719,0.040740474656036,0.00010014865942978,0.24
3.386593135123e-07,2450.6813247905,0.043303536130262,0.00010644920386003,0.24
3.423593135123e-07,4106.3582610376,0.048238232981765,0.00011857972709382,0.24
3.460593135123e-07,5279.7769157292,0.055302050593096,0.00013594407717084,0.24
3.497593135123e-07,5520.952170786,0.063430463289025,0.00015592542598089,0.24
3.534593135123e-07,4742.0390059483,0.071154185188812,0.00017491195965785,0.24
3.571593135123e-07,3242.9376583646,0.077163518926841,0.00018968416648683,0.24
3.608593135123e-07,1596.5562518867,0.080805625253818,0.00019863723022079,0.24
3.645593135123e-07,440.06695694586,0.082338347148321,0.00020240498315713,0.24
3.682593135123e-07,238.45875962433,0.082848992032097,0.00020366025573279,0.24
3.719593135123e-07,1095.5163060431,0,0,0.24
3.756593135123e-07,2694.1317676659,0.0028520133473119,7.0108489363617e-06,0.24
3.793593135123e-07,4415.449422399,0.008202541959331,2.0163574137982e-05,0.24
3.830593135123e-07,5591.505900439,0.015733576396192,3.8676441485232e-05,0.24
3.867593135123e-07,5772.6265243696,0.024285995176455,5.9700086471128e-05,0.24
3.904593135123e-07,4895.2176011204,0.032314401308416,7.9435598103284e-05,0.24
3.941593135123e-07,3296.7149621982,0.038479485916918,9.4590673345424e-05,0.24
3.978593135123e-07,1587.1738411378,0.042155002952533,0.0001036258676316,0.24
4.015593135123e-07,427.84116031486,0.043671462942326,0.00010735364538428,0.24
4.052593135123e-07,285.47916811199,0.044208293555094,0.00010867328799187,0.24
4.089593135123e-07,1240.7229872262,0.045356882773158,0.00011149676197925,0.24
4.126593135123e-07,2936.8530960544,0.048500842981913,0.00011922527773332,0.24
4.163593135123e-07,4715.3263864147,0.05425972021683,0.00013338180977588,0.24
4.200593135123e-07,5885.9706286653,0.062238044324439,0.00015299420925378,0.24
4.237593135123e-07,6002.5682873879,0.071185120941882,0.00017498800624848,0.24
4.274593135123e-07,5027.3740197504,0.079486034923388,0.00019539339951669,0.24
4.311593135123e-07,3334.953496635,0.08577935536567,0.000210863705422,0.24
4.348593135123e-07,1570.4242482314,0.089471044548901,0.00021993865425,0.24
4.385593135123e-07,416.12215056899,0.09096607963771,0.00022361376508778,0.24
4.422593135123e-07,337.65961058054,0.091533360715516,0.00022500826134591,0.24
4.459593135123e-07,1390.8573781445,0,0,0.24
4.496593135123e-07,3179.3582668364,0.0034394528900997,8.4548989432147e-06,0.24
4.533593135123e-07,5007.1503354879,0.0096004555340369,2.3599939857515e-05,0.24
4.570593135123e-07,6165.0619945942,0.01800843908941,4.4268532668166e-05,0.24
4.607593135123e-07,6213.2001688228,0.027324071628355,6.7168317670488e-05,0.24
4.644593135123e-07,5141.0469411887,0.035869050918407,8.8173674824009e-05,0.24
4.681593135123e-07,3359.8333475946,0.042266643406139,0.00010390030335826,0.24
4.718593135123e-07,1547.7705845767,0.045960007973413,0.00011297937063278,0.24
4.755593135123e-07,405.53161137503,0.047430024140042,0.00011659297969529,0.24
4.792593135123e-07,394.92296866667,0.04803243024789,0.00011807382066836,0.24
4.829593135123e-07,1545.3613665371,0.049492649432878,0.00012166334668849,0.24
4.866593135123e-07,3421.1015514157,0.053230310095671,0.0001308513030867,0.24
4.903593135123e-07,5290.7729470267,0.059786692605708,0.00014696827090882,0.24
4.940593135123e-07,6429.244103863,0.068606943037867,0.00016865030245297,0.24
4.977593135123e-07,6405.5544349475,0.078266155722205,0.00019239467974977,0.24
5.014593135123e-07,5237.5767006176,0.087028543352208,0.00021393447235056,0.24
5.051593135123e-07,3372.6518930395,0.093508429187223,0.00022986339524883,0.24
5.088593135123e-07,1520.1667878109,0.097190666670057,0.0002389151098084,0.24
5.125593135123e-07,396.5303960994,0.098633134636725,0.00024246099959863,0.24
5.162593135123e-07,457.27891197567,0,0,0.24
5.199593135123e-07,1704.0101343045,0.0016265429104496,3.9983847356184e-06,0.24
5.236593135123e-07,3661.9402261391,0.0056648498327122,1.3925392902439e-05,0.24
