time,integrated_power,mean_periodic_power_dep,periodic_power,voltage
2.6012959313515e-05,10498.550254275,0.17440109256316,0.0004287145834886,0.24
2.6016659313515e-05,7595.8956986557,0.18801861069842,0.00046218930850152,0.24
2.6020359313515e-05,4555.4884345687,0.1971634993694,0.00048466936914799,0.24
2.6024059313515e-05,2489.0056249492,0.20246504470871,0.0004977016831581,0.24
2.6027759313515e-05,2231.0866891058,0.20601729178243,0.0005064338539391,0.24
2.6031459313515e-05,3966.4418153082,0.21068142778428,0.00051789928167226,0.24
2.6035159313515e-05,7039.9162057591,0,0,0.24
2.6038859313515e-05,10187.722677834,0.012965176471015,3.1871131934648e-05,0.24
2.6042559313515e-05,12139.897010395,0.029768496495982,7.3177228357872e-05,0.24
2.6046259313515e-05,12193.685315468,0.04808146388278,0.00011819435566072,0.24
2.6049959313515e-05,10413.239919125,0.06509498367583,0.00016001716734472,0.24
2.6053659313515e-05,7487.4066386739,0.078566652262298,0.00019313336347664,0.24
2.6057359313515e-05,4462.527892171,0.087559933991522,0.00021524074235871,0.24
2.6061059313515e-05,2446.9694038578,0.092759883466567,0.00022802331235636,0.24
2.6064759313515e-05,2258.9774139701,0.096301484922728,0.00023672931396934,0.24
2.6068459313515e-05,4055.7233165758,0.10105380239852,0.00024841151032085,0.24
2.6072159313515e-05,7154.6194477323,0.10949048215609,0.00026915064443482,0.24
2.6075859313515e-05,10280.49162166,0.12261179804469,0.0003014055999132,0.24
2.6079559313515e-05,12174.87622501,0.13951125877874,0.00034294803042954,0.24
2.6083259313515e-05,12160.48532925,0.15782556517724,0.00038796844930492,0.24
2.6086959313515e-05,10326.548553119,0.17474885713643,0.0004295694619873,0.24
2.6090659313515e-05,7378.7976504313,0.1880735465823,0.00046232435246387,0.24
2.6094359313515e-05,4370.78553975,0.19691604789957,0.0004840610813657,0.24
2.6098059313515e-05,2407.1519669382,0.20201698810835,0.00049660026575307,0.24
2.6101759313515e-05,2289.2899966409,0.2055514364013,0.0005052886833857,0.24
2.6105459313515e-05,4146.5969582811,0.21039495620584,0.0005171950742523,0.24
2.6109159313515e-05,7269.3491746716,0,0,0.24
2.6112859313515e-05,10371.747452449,0.013276336499639,3.2636028760173e-05,0.24
2.6116559313515e-05,12207.529780401,0.030269048959537,7.4407691640946e-05,0.24
2.6120259313515e-05,12125.08325752,0.048581286879615,0.0001194230257611,0.24
2.6123959313515e-05,10238.512088647,0.065411681465233,0.00016079567715151,0.24
2.6127659313515e-05,7270.1096327295,0.078588320000306,0.00019318662733605,0.24
2.6131359313515e-05,4280.2966027588,0.08728092472501,0.00021455487887171,0.24
2.6135059313515e-05,2369.5689211716,0.09228548052101,0.00022685713009098,0.24
2.6138759313515e-05,2322.0086967464,0.095816268004702,0.00023553654868413,0.24
2.6142459313515e-05,4239.0176264093,0.10075396519498,0.00024767444738196,0.24
2.6146159313515e-05,7384.052769564,0.10950125551358,0.00026917712761451,0.24
2.6149859313515e-05,10461.459069472,0.12293143081341,0.00030219132451673,0.24
2.6153559313515e-05,12237.863373345,0.14001448689742,0.00034418507103594,0.24
2.6157259313515e-05,12087.517152663,0.15832128177368,0.00038918702500905,0.24
2.6160959313515e-05,10149.187284641,0.17505618079911,0.00043032492821807,0.24
2.6164659313515e-05,7161.4044518713,0.18808378592817,0.00046234952293062,0.24
2.6168359313515e-05,4191.1143332519,0.19662746451548,0.00048335168268309,0.24
2.6172059313515e-05,2334.2485375861,0.20153832210482,0.00049542360399414,0.24
2.6175759313515e-05,2357.1228009138,0.20506895434675,0.00050410264097037,0.24
2.6179459313515e-05,4332.9361506582,0.21010375891252,0.00051647925003078,0.24
2.6183159313515e-05,7498.6638867472,0,0,0.24
2.6186859313515e-05,10549.571803684,0.013582741215905,3.3389236027298e-05,0.24
2.6190559313515e-05,12265.850601703,0.030753171809751,7.5597767477263e-05,0.24
2.6194259313515e-05,12047.788540915,0.049051130355702,0.00012057799989111,0.24
2.6197959313515e-05,10058.59548366,0.065687952844917,0.00016147481033657,0.24
2.6201659313515e-05,7052.7137042147,0.078565581913528,0.00019313073233414,0.24
2.6205359313515e-05,4103.2685753101,0.086961351057453,0.00021376929955126,0.24
2.6209059313515e-05,2301.2036463706,0.091781228762045,0.00022561757316137,0.24
2.6212759313515e-05,2394.6158526604,0.095315208600626,0.00023430483923458,0.24
2.6216459313515e-05,4428.3091017386,0.10045000546281,0.00024692725040022,0.24
2.6220159313515e-05,7613.1341838508,0.10951215485068,0.00026920392047856,0.24
2.6223859313515e-05,10636.060301282,0.1232461336363,0.00030296493027605,0.24
2.6227559313515e-05,12291.502468482,0.14050095882557,0.00034538092140012,0.24
2.6231259313515e-05,12005.939133464,0.15878672742636,0.00039033118836372,0.24
2.6234959313515e-05,9966.795380407,0.17532296796681,0.00043098074721438,0.24
2.6238659313515e-05,6944.0997746857,0.18804976944263,0.0004622659032513,0.24
2.6242359313515e-05,4016.8117509798,0.19629873223861,0.00048254358957378,0.24
2.6246059313515e-05,2270.4603630932,0.20103040748622,0.00049417504298482,0.24
2.6249759313515e-05,2434.474283685,0.2045712472027,0.00050287917208136,0.24
2.6253459313515e-05,4525.0851613482,0.20980887244984,0.00051575435705467,0.24
2.6257159313515e-05,7727.3970129844,0,0,0.24
2.6260859313515e-05,10720.871148263,0.013883797652791,3.4129296098307e-05,0.24
2.6264559313515e-05,12314.794171226,0.031219978658932,7.6745276939361e-05,0.24
2.6268259313515e-05,11961.971599655,0.049490187042783,0.00012165729361549,0.24
2.6271959313515e-05,9873.8088948133,0.06592335872731,0.00016205348753026,0.24
2.6275659313515e-05,6835.5942607035,0.078498521354089,0.00019296588336797,0.24
2.6279359313515e-05,3931.772919498,0.086601826546565,0.00021288551265134,0.24
2.6283059313515e-05,2242.0298528838,0.091248107037004,0.00022430704778025,0.24
2.6286759313515e-05,2476.7585280371,0.094799372796717,0.00023303680628495,0.24
2.6290459313515e-05,4623.3930947678,0.10014280490501,0.00024617208678714,0.24
2.6294159313515e-05,7841.5328485959,0.10952365887146,0.00026923219978236,0.24
2.6297859313515e-05,10804.038618966,0.12355594304652,0.00030372650699735,0.24
2.6301559313515e-05,12335.731807178,0.14097047147383,0.00034653508228571,0.24
2.6305259313515e-05,11915.885908758,0.15922175393449,0.0003914005750602,0.24
2.6308959313515e-05,9779.6505956662,0.17554938079699,0.00043153731759338,0.24
2.6312659313515e-05,6727.2389937639,0.1879721357642,0.00046207506333382,0.24
2.6316359313515e-05,3848.2167337987,0.19593101223565,0.00048163965642982,0.24
2.6320059313515e-05,2215.9746387833,0.20049480137883,0.00049285841046909,0.24
2.6323759313515e-05,2521.3471829596,0.20406001503543,0.00050162245583932,0.24
2.6327459313515e-05,4722.8723896813,0,0,0.24
2.6331159313515e-05,7955.205452789,0.0095412678226863,2.345444400857e-05,0.24
2.6334859313515e-05,10885.324966439,0.023720274205589,5.8309425284143e-05,0.24
2.6338559313515e-05,12354.197269439,0.041209873849867,0.00010130254142052,0.24
2.6342259313515e-05,11867.657071606,0.05943875698985,0.00014611297195145,0.24
2.6345959313515e-05,9684.3427081238,0.07565836098408,0.00018598417154395,0.24
2.6349659313515e-05,6619.0615186969,0.0879279769371,0.00021614546936357,0.24
2.6353359313515e-05,3766.1474880041,0.095743677531363,0.00023535810602597,0.24
2.6357059313515e-05,2192.2632972915,0.10022785832016,0.00024638116597876,0.24
2.6360759313515e-05,2568.2492762405,0.10381052487275,0.0002551881142398,0.24
2.6364459313515e-05,4823.6181559358,0.10937349646486,0.00026886306898932,0.24
2.6368159313515e-05,8068.5162906966,0.1190758590067,0.00029271351771559,0.24
2.6371859313515e-05,10964.843696611,0.13339998506595,0.00032792523369211,0.24
2.6375559313515e-05,12370.313889206,0.15096155796189,0.00037109527522587,0.24
2.6379259313515e-05,11817.407181819,0.16916475308552,0.00041584255920727,0.24
2.6382959313515e-05,9587.9953566803,0.18527403092794,0.00045544255390349,0.24
2.6386659313515e-05,6511.1529914153,0.19738992799175,0.00048522597834747,0.24
2.6390359313515e-05,3685.6294384513,0.20506382251282,0.00050409002584272,0.24
2.6394059313515e-05,2170.9212854249,0.20947134545659,0.00051492464468189,0.24
2.6397759313515e-05,2617.4426125983,0.21307497235897,0.00052378311789324,0.24
2.6401459313515e-05,4925.5677315358,0,0,0.24
2.6405159313515e-05,8181.3886603742,0.0098640332414236,2.4247869325033e-05,0.24
2.6408859313515e-05,11042.533729492,0.024331572753589,5.9812125746286e-05,0.24
2.6412559313515e-05,12384.050718838,0.041961951677714,0.0001031513069757,0.24
