"velocity:0","velocity:1","w_he"
-5.6739e-05,-0.0053957,0.00029836
-5.9382e-05,-0.0027412,0.00013872
0.00021036,0.002405,0.01074
0.00063957,0.0043964,0.010249
0.00080242,0.0051833,0.010932
0.0004052,0.0034807,0.010495
0.00071437,0.0047722,0.010591
0.00045951,0.0038203,0.010836
-0.075036,-0.024883,0.099008
-0.062546,-0.022387,0.092841
-0.059542,-0.026863,0.099965
0.074853,-10.664,0.90542
0.078208,-10.884,0.91046
0.10807,-7.4966,0.81962
0.076468,-10.773,0.90794
0.10512,-9.3866,0.86504
0.10204,-9.2921,0.86252
0.0007577,-0.004265,0.00057333
0.00085793,-0.0044323,0.00062151
0.00086955,-0.0041415,0.00063004
0.0008069,-0.0043492,0.00059742
0.0008651,-0.0042879,0.00062577
0.00081503,-0.0042093,0.00060168
0.0025319,-0.013096,0.001895
0.0030111,-0.012316,0.0020825
0.0024736,-0.012475,0.0017576
0.0027758,-0.012735,0.0019887
0.0027412,-0.012438,0.00192
0.0025084,-0.012785,0.0018263
0.0024251,0.011121,0.015154
0.0037262,0.012417,0.015873
0.0036991,0.011418,0.01505
0.0030659,0.011773,0.015514
0.0037171,0.011925,0.015462
0.0030704,0.011266,0.015102
0.0013887,-0.014301,0.0043409
0.0014228,-0.013732,0.0045647
0.0010303,-0.014489,0.0043607
-9.1119e-05,-0.00077851,3.3954e-05
-9.7996e-05,-0.0008199,3.5771e-05
-0.00012587,-0.001175,5.3304e-05
-0.018981,0.0040905,0.01444
-0.01884,0.0030158,0.013734
-0.019142,0.004038,0.014626
-0.018909,0.0035471,0.014087
-0.01899,0.0035201,0.01418
-0.019061,0.0040653,0.014533
-8.5142e-05,-0.00010605,0.00010156
-3.9743e-05,-4.6552e-05,0.00010407
-4.5036e-05,-4.917e-05,9.7933e-05
-6.2794e-05,-7.5843e-05,0.00010282
-4.2366e-05,-4.7862e-05,0.000101
-6.6148e-05,-7.7171e-05,9.9747e-05
0.00031845,0.0034076,0.014935
0.0011821,0.0067531,0.015302
0.00048312,0.0040634,0.015996
0.00066604,0.0050477,0.015118
0.00082402,0.0055338,0.015649
0.00038354,0.0036754,0.015465
-0.014191,0.00052376,0.0099867
-0.014515,0.00049411,0.0099913
-0.014593,0.0015791,0.010538
-0.014356,0.00050968,0.009989
-0.014555,0.0010319,0.010265
-0.014391,0.0010482,0.010263
-0.020987,0.02294,0.027165
-0.021278,0.023825,0.028175
-0.020318,0.022424,0.026596
-0.02113,0.023385,0.02767
-0.020791,0.023116,0.027386
-0.020661,0.022683,0.026881
-0.00017242,-0.0019682,0.00017151
-0.00021012,-0.0018603,0.00015515
-0.00019149,-0.0019987,0.00016367
-0.00019198,-0.0019153,0.00016333
-0.00020101,-0.0019292,0.00015941
-0.00018226,-0.001985,0.00016759
0.10106,-7.4987,0.81575
